epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,14780.4,0.6448,0.55743,0.9024,0.96447,0.98261,0.98595,0.89579,0.4614,0.2817,0.81587,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,14989.2,0.64295,0.55181,0.90277,0.96372,0.98481,0.98613,0.89714,0.45825,0.28045,0.81522,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,15196.9,0.63774,0.54918,0.90101,0.96759,0.98238,0.98668,0.89673,0.4614,0.27907,0.81556,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,15403.8,0.63696,0.54929,0.89948,0.96576,0.9845,0.98648,0.89636,0.462,0.27908,0.81552,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,15613.4,0.63929,0.54713,0.90018,0.96409,0.98539,0.98605,0.89518,0.46632,0.27975,0.81628,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,15820.1,0.63695,0.54832,0.89905,0.95964,0.98806,0.9851,0.89553,0.46235,0.2796,0.81546,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,16028,0.63531,0.54847,0.89948,0.95835,0.99016,0.98494,0.8955,0.46128,0.2797,0.81519,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,16234.5,0.62831,0.53815,0.8968,0.9616,0.98786,0.98555,0.89696,0.45756,0.27806,0.81456,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,16441.4,0.62683,0.53776,0.89678,0.96203,0.98772,0.98587,0.89719,0.45731,0.27634,0.8145,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,16648.8,0.62417,0.53509,0.89587,0.96428,0.98588,0.98622,0.89815,0.45525,0.27518,0.81403,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
